ts,reconstruction_error,anomaly
2023-03-09 23:59:35,0.4812656,0
2023-03-09 23:59:36,0.62475955,0
2023-03-09 23:59:37,0.4770323,0
2023-03-09 23:59:38,0.4593981,0
2023-03-09 23:59:39,0.45972985,0
2023-03-09 23:59:40,0.458779,0
2023-03-09 23:59:41,0.44441298,0
2023-03-09 23:59:42,0.42195505,0
2023-03-09 23:59:43,0.4452937,0
2023-03-09 23:59:44,0.42185095,0
2023-03-09 23:59:45,0.4388327,0
2023-03-09 23:59:46,0.43726915,0
2023-03-09 23:59:47,0.43018544,0
2023-03-09 23:59:48,0.4503078,0
2023-03-09 23:59:49,0.44553444,0
2023-03-09 23:59:50,0.45945746,0
2023-03-09 23:59:51,0.4369327,0
2023-03-09 23:59:52,0.43724394,0
2023-03-09 23:59:53,0.4076154,0
2023-03-09 23:59:54,0.39921343,0
2023-03-09 23:59:55,0.3818278,0
2023-03-09 23:59:56,0.39534086,0
2023-03-09 23:59:57,0.39625975,0
2023-03-09 23:59:58,0.39373738,0
2023-03-09 23:59:59,0.39434874,0
2023-03-10 00:00:00,0.38051134,0
2023-03-10 00:00:01,0.38288385,0
2023-03-10 00:00:02,0.4011723,0
2023-03-10 00:00:03,0.38165954,0
2023-03-10 00:00:04,0.38962328,0
2023-03-10 00:00:05,0.3836703,0
2023-03-10 00:00:06,0.3850939,0
2023-03-10 00:00:07,0.37340307,0
2023-03-10 00:00:08,0.35989338,0
2023-03-10 00:00:09,0.3480408,0
2023-03-10 00:00:10,0.35636976,0
2023-03-10 00:00:11,0.34259823,0
2023-03-10 00:00:12,0.3619564,0
2023-03-10 00:00:13,0.36037552,0
2023-03-10 00:00:14,0.3571526,0
2023-03-10 00:00:15,0.3592613,0
2023-03-10 00:00:16,0.36655873,0
2023-03-10 00:00:17,0.3484359,0
2023-03-10 00:00:18,0.36496165,0
2023-03-10 00:00:19,0.36887437,0
2023-03-10 00:00:20,0.34897628,0
2023-03-10 00:00:21,0.36596483,0
2023-03-10 00:00:22,0.37002066,0
2023-03-10 00:00:23,0.36573437,0
2023-03-10 00:00:24,0.38084286,0
2023-03-10 00:00:25,0.38446176,0
2023-03-10 00:00:26,0.38944465,0
2023-03-10 00:00:27,0.3871981,0
2023-03-10 00:00:28,0.39385936,0
2023-03-10 00:00:29,0.40706676,0
2023-03-10 00:00:30,0.39989626,0
2023-03-10 00:00:31,0.39747953,0
2023-03-10 00:00:32,0.39703017,0
2023-03-10 00:00:33,0.42271683,0
2023-03-10 00:00:34,0.42325342,0
2023-03-10 00:00:35,0.4106444,0
2023-03-10 00:00:36,0.41420788,0
2023-03-10 00:00:37,0.4224401,0
2023-03-10 00:00:38,0.42207167,0
2023-03-10 00:00:39,0.5781139,0
2023-03-10 00:00:40,0.55290765,0
2023-03-10 00:00:41,0.5299564,0
2023-03-10 00:00:42,0.5346655,0
2023-03-10 00:00:43,0.5764627,0
2023-03-10 00:00:44,0.5668717,0
2023-03-10 00:00:45,0.41575593,0
2023-03-10 00:00:46,0.4145053,0
2023-03-10 00:00:47,0.5626515,0
2023-03-10 00:00:48,0.5334151,0
2023-03-10 00:00:49,0.4141269,0
2023-03-10 00:00:50,0.41787258,0
2023-03-10 00:00:51,0.41386923,0
2023-03-10 00:00:52,0.3923058,0
2023-03-10 00:00:53,0.40249792,0
2023-03-10 00:00:54,0.3889403,0
2023-03-10 00:00:55,0.3851422,0
